panel_id,endpoint_id,protocol_id,representation,metric_output_id,group,state,oc,bootstrap_lower,bootstrap_upper,pair_count_per_cluster
d2_5_b,d2_5,b,common_grid,sam,nonaxis_nonaxis,complete,0.7036458333333334,0.6828949652777776,0.7230924479166668,192
d2_5_b,d2_5,b,common_grid,sam,mixed,complete,0.7387152777777778,0.7022070312500002,0.7693185763888889,384
d2_5_b,d2_5,b,common_grid,sam,axis_axis,complete,0.33098958333333334,0.28802083333333334,0.38074218749999994,64
d2_5_b,d2_5,b,common_grid,pearson_r,nonaxis_nonaxis,complete,0.6855902777777778,0.6645811631944444,0.7059917534722224,192
d2_5_b,d2_5,b,common_grid,pearson_r,mixed,complete,0.6830729166666667,0.6516493055555557,0.7128049045138888,384
d2_5_b,d2_5,b,common_grid,pearson_r,axis_axis,complete,0.3299479166666667,0.28723307291666667,0.3796940104166666,64
d2_5_b,d2_5,b,common_grid,nmse,nonaxis_nonaxis,complete,0.7022569444444445,0.6823763020833333,0.720920138888889,192
d2_5_b,d2_5,b,common_grid,nmse,mixed,complete,0.7434895833333334,0.7064605034722221,0.7748274739583333,384
d2_5_b,d2_5,b,common_grid,nmse,axis_axis,complete,0.33151041666666664,0.28880208333333335,0.3807356770833333,64
d2_5_b,d2_5,b,common_grid,wasserstein_1_cm1,nonaxis_nonaxis,complete,0.5734375000000002,0.5434895833333333,0.6036480034722222,192
d2_5_b,d2_5,b,common_grid,wasserstein_1_cm1,mixed,complete,0.9031250000000001,0.8253830295138889,0.9642480468749999,384
d2_5_b,d2_5,b,common_grid,wasserstein_1_cm1,axis_axis,complete,0.35546875,0.31796875,0.3981901041666666,64
d2_5_b,d2_5,b,common_grid,is_like_structure_to_noise,nonaxis_nonaxis,complete,0.39184027777777775,0.3591102430555555,0.4242230902777777,192
d2_5_b,d2_5,b,common_grid,is_like_structure_to_noise,mixed,complete,0.5628472222222223,0.5174479166666667,0.6041265190972221,384
d2_5_b,d2_5,b,common_grid,is_like_structure_to_noise,axis_axis,complete,0.6799479166666667,0.62734375,0.7302083333333333,64
d2_5_b,d2_5,b,common_grid,precision,nonaxis_nonaxis,complete,0.5677083333333333,0.528122829861111,0.6054752604166668,192
d2_5_b,d2_5,b,common_grid,precision,mixed,complete,0.3443576388888889,0.3214409722222223,0.3737413194444444,384
d2_5_b,d2_5,b,common_grid,precision,axis_axis,complete,0.27317708333333335,0.21978515625,0.3370052083333332,64
d2_5_b,d2_5,b,common_grid,recall,nonaxis_nonaxis,complete,0.5756944444444445,0.536540798611111,0.6114626736111111,192
d2_5_b,d2_5,b,common_grid,recall,mixed,complete,0.36093749999999997,0.3397135416666668,0.3868511284722222,384
d2_5_b,d2_5,b,common_grid,recall,axis_axis,complete,0.27369791666666665,0.2223828125,0.3359440104166666,64
d2_5_b,d2_5,b,common_grid,f1,nonaxis_nonaxis,complete,0.5730902777777778,0.5328125,0.61015625,192
d2_5_b,d2_5,b,common_grid,f1,mixed,complete,0.3514756944444445,0.3297254774305555,0.37899631076388884,384
d2_5_b,d2_5,b,common_grid,f1,axis_axis,complete,0.27369791666666665,0.22134114583333334,0.3372395833333333,64
d2_5_b,d2_5,b,common_grid,artifact_peak_ratio,nonaxis_nonaxis,complete,0.5677083333333333,0.528122829861111,0.6054752604166668,192
